scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
trunk_all_restr,0.062,1.500,-0.100,9.325,6.456,6.289,-7.112,0.530,0.033,-0.013,0.171
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
trunk_ext_free,0.064,1.511,-0.104,9.325,6.445,6.306,-7.124,0.538,0.029,-0.014,0.172
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
trunk_ben_free,0.413,2.960,-0.059,11.011,16.470,4.093,-8.830,0.357,0.023,-0.029,0.108
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
trunk_rot_free,0.063,1.514,-0.104,9.366,6.436,6.315,-7.130,0.540,0.029,-0.014,0.172
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
trunk_all_free,0.513,3.585,-0.063,21.678,20.688,3.898,-8.867,0.379,0.031,-0.025,0.127
